27p;2;"C2 C3";capacitor-C050-024X044
100n;12;"C1 C4 C6 C7 C10 C11 C22 C23 C26 C31 C33 C35";capacitor-C050-024X044
10µ;1;"C30";capacitor-C050-045X075
1µ;5;"C18 C19 C20 C25 C28";capacitor-C050-050X075
1µ;2;"C29 C32";capacitor-C050-055X075
10µ;5;"C8 C9 C12 C13 C27";capacitor-ELE-2.5-5
100µ;1;"C34";capacitor-ELE-2.5-5
470µ;1;"C24";capacitor-ELE-5-11
470µ;1;"C21";capacitor-ELE-5-14
Power;1;"D3";D-LED-O-5mm
1N4841;2;"D1 D2";DO-35
1N4148;1;"D4";DO-35
D;2;"D5 D6";DO-35
5V1;1;"DZ1";DO-35
D-SUB-DE-9;1;"K1";DB9FC
K20;1;"K3";IDE-H-20
JTAG-ATMEL;1;"K2";IDE-V-10
K10;1;"K4";IDE-V-10
100u;1;"L3";resistor-0207-10-ELL
100µH;1;"L1";INDUCTOR_V
500R;1;"P2";resistor-POT-H-5-5
100k;1;"P4";resistor-POT-H-5-5
P;1;"P3";resistor-POT-H-5-5
PR_DPDT;1;"PR1";S40-DPDT
330;1;"R32";resistor-0207-10-ELL
1k;1;"R31";resistor-0207-10-ELL
3k;1;"R30";resistor-0207-10-ELL
4k7;1;"R1";resistor-0204/5
4k7;2;"R9 R11";resistor-0207-10-ELL
10k;1;"R3";resistor-0207-10-ELL
10k;3;"R4 R20 R23";resistor-0207-10-ELL
10k;1;"R28";resistor-0207/2V
10k;1;"R22";resistor-0207/7
20k;1;"R21";resistor-0207-10-ELL
22k;2;"R8 R14";resistor-0207-10-ELL
47k;6;"R2 R7 R10 R12 R19 R29";resistor-0207-10-ELL
BC547;2;"T1 T2";TO92-CBE
TL082;2;"U1 U2";DIP-8__300_ELL
RTCC;1;"U3";PIN-6-II
ATMEGA16-PU;1;"uC1";DIP-40__600_ELL
7805;1;"US5";TO-220-V
MAX232;1;"US3";DIP-16__300_ELL
ICL7660;1;"US7";DIP-8__300_ELL
DS18B20;3;"US1 US2 US4";PINHEAD1-3
MCP1541;1;"US6";TO92-123
1.8432MHz;1;"X1";X-HC49-V
